question,answers,sources
What does the skeletal system do?,"The skeletal system has many functions. Besides giving us our human shape and features, it:

Allows movement: Your skeleton supports your body weight to help you stand and move. Joints, connective tissue and muscles work together to make your body parts mobile.
Produces blood cells: Bones contain bone marrow. Red and white blood cells are produced in the bone marrow.
Protects and supports organs: Your skull shields your brain, your ribs protect your heart and lungs, and your backbone protects your spine.
Stores minerals: Bones hold your body’s supply of minerals like calcium and vitamin D.",https://my.clevelandclinic.org/health/body/21048-skeletal-system
What are the parts of the skeletal system?,"The skeletal system is a network of many different parts that work together to help you move. The main part of your skeletal system consists of your bones, hard structures that create your body’s framework — the skeleton. There are 206 bones in an adult human skeleton. Each bone has three main layers:

Periosteum: The periosteum is a tough membrane that covers and protects the outside of the bone.
Compact bone: Below the periosteum, compact bone is white, hard, and smooth. It provides structural support and protection.
Spongy bone: The core, inner layer of the bone is softer than compact bone. It has small holes called pores to store marrow.
The other components of your skeletal system include:

Cartilage: This smooth and flexible substance covers the tips of your bones where they meet. It enables bones to move without friction (rubbing against each other). When cartilage wears away, as in arthritis, it can be painful and cause movement problems.
Joints: A joint is where two or more bones in the body come together. There are three different joint types. The types of joints are:
Immovable joints: Immovable joints don’t let the bones move at all, like the joints between your skull bones.
Partly movable joints: These joints allow limited movement. The joints in your rib cage are partly movable joints.
Movable joints: Movable joints allow a wide range of motion. Your elbow, shoulder, and knee are movable joints.
Ligaments: Bands of strong connective tissue called ligaments hold bones together.
Tendons: Tendons are bands of tissue that connect the ends of a muscle to your bone.",https://my.clevelandclinic.org/health/body/21048-skeletal-system
What are some common conditions that can affect the skeletal system?,"Many conditions can affect the bones, joints, and tissues that make up the skeletal system. Some happen as a result of disease or injury. Others develop due to wear and tear as you get older. Conditions that may affect the skeletal system can include:

Arthritis: Age, injury, and medical conditions such as Lyme disease can lead to arthritis, a painful wearing down of joints.
Fracture: Disease, a tumor, or trauma can put stress on a bone, causing it to break.
Osteosarcoma: Cancer that forms in the bones can cause tumors that may weaken and break bones.
Osteoporosis: Bone loss caused by not getting enough calcium can lead to fragile and brittle bones, known as osteoporosis.
Sprains and tears: Age, disease and trauma can cause connective tissue to overstretch and tear.",https://my.clevelandclinic.org/health/body/21048-skeletal-system
How can I keep my skeletal system healthy?,"How can I keep my skeletal system healthy?

To keep your skeletal system strong and healthy, you should:

Get plenty of vitamin D and calcium in your diet (try milk, yogurt or almonds) to keep bones strong.
Drink plenty of water to help keep tissues healthy.
Exercise regularly to strengthen bones and joints.
Stay at a healthy weight to avoid putting extra pressure on your bones and cartilage.
Wear protective gear during contact sports such as football and hockey.
Be cautious on stairs to avoid falls.",https://my.clevelandclinic.org/health/body/21048-skeletal-system
What happens when you break a bone?,"Your healthcare provider will classify a fracture based on the way the bone breaks. Types of fractures include:

Stable (closed): The ends of the broken bones line up.
Stress fracture: Overuse causes a crack in the bone.
Open (compound): The broken bone breaks the skin.
If you break a bone, you’ll need an imaging test called an X-ray so your doctor can identify the type of fracture. Depending on the severity of the break, you’ll need to immobilize it (prevent it from moving) in a cast or brace for three to eight weeks. Broken bones can take several months to heal completely.",https://my.clevelandclinic.org/health/body/21048-skeletal-system
What are muscles?,"Muscles are soft tissues. Many stretchy fibers make up your muscles. You have more than 600 muscles in your body. Different types of muscles have different jobs. Some muscles help you run, jump or perform delicate tasks like threading a needle. Other muscles allow you to breathe or digest food. Your heart is a hard-working muscle that beats thousands of times a day.

Many disorders, injuries and diseases can affect how muscles work. These conditions can cause muscle pain, muscle spasms or muscle weakness. More severe disorders can lead to paralysis. Cardiomyopathy and other kinds of heart disease make it difficult for the heart to pump blood through the body.

Living a healthy lifestyle helps your muscles work like they should. You can keep your muscles strong by maintaining a healthy weight, eating a balanced diet and getting plenty of exercise. Be sure to see your provider regularly to screen for diseases and conditions that can lead to muscle problems.",https://my.clevelandclinic.org/health/body/21887-muscle
What are the types of muscles?,"You control some muscles voluntarily with the help of your nervous system (your body’s command center). You make them move by thinking about moving them.

Other muscles work involuntarily, which means you can’t control them. They do their job automatically. In order to work, they take cues from other body systems, such as your digestive system or cardiovascular system.

There are three types of muscle tissue in the body. They are:

Skeletal: As part of the musculoskeletal system, these muscles work with your bones, tendons and ligaments. Tendons attach skeletal muscles to bones all over your body. Together, they support the weight of your body and help you move. You control these voluntary muscles. Some muscle fibers contract quickly and use short bursts of energy (fast-twitch muscles). Others move slowly, such as your back muscles that help with posture.
Cardiac: These muscles line the heart walls. They help your heart pump blood that travels through your cardiovascular system. You don’t control cardiac muscles. Your heart tells them when to contract.
Smooth: These muscles line the insides of organs such as the bladder, stomach and intestines. Smooth muscles play an important role in many body systems, including the female reproductive system, male reproductive system, urinary system and respiratory system. These types of muscles work without you having to think about them. They do essential jobs like move waste through your intestines and help your lungs expand when you breathe.",https://my.clevelandclinic.org/health/body/21887-muscle
What do muscles do?,"Muscles play a role in nearly every system and function of the body. Different kinds of muscles help with:

Breathing, speaking and swallowing.
Digesting food and getting rid of waste.
Moving, sitting still and standing up straight.
Pumping blood through the heart and blood vessels.
Pushing a baby through the birth canal as muscles in the uterus contract and relax.
Seeing and hearing.",https://my.clevelandclinic.org/health/body/21887-muscle
What do muscles look like?,"All types of muscle tissue look similar. But there are slight differences in their appearance:

Skeletal muscles: Many individual fibers make up skeletal muscles. Actin and myosin are proteins that make up the fibers. The bundles of fibers form a spindle shape (long and straight with tapered ends). A membrane surrounds each spindle. Providers describe skeletal muscles as striated (striped) because of the striped pattern the spindles create together.
Cardiac muscles: These striated muscles look similar to skeletal muscles. Special cells called cardiomyocytes make up the fibers in cardiac muscles. Cardiomyocytes help your heart beat.
Smooth muscles: The proteins actin and myosin also make up smooth muscle fibers. In skeletal muscles, these proteins come together to form a spindle shape. In smooth muscles, these proteins appear in sheets. The sheets give this muscle tissue a smooth appearance.

You have all sizes of muscles in your body. The largest muscle is the gluteus maximus (the muscle that makes up your bottom). The smallest muscle is the stapedius, which is deep inside your ear. This tiny muscle helps you hear by controlling the vibration and movement of small bones in your ear.",https://my.clevelandclinic.org/health/body/21887-muscle
What conditions and disorders affect the muscles?,"A wide range of disorders, diseases, drugs and injuries can cause problems with how the muscles work. They include:

Cancer and other disease: Multiple types of cancer (such as sarcoma) and other diseases can lead to muscle problems. These include neuromuscular diseases such as amyotrophic lateral sclerosis (ALS), autoimmune disorders such as myasthenia gravis (MG), and many types of myopathies (muscle disease). A disease called polymyositis causes inflammation in the muscles, leading to muscle weakness.
Cardiovascular disease: Several kinds of venous disease and cardiovascular disease, including coronary artery disease, can cause problems with the heart and blood vessels. A heart attack can result when muscles in the blood vessels weaken.
Chronic pain disorders: Fibromyalgia and other disorders cause chronic pain in the muscles all over the body.
Genetic disorders: Muscular dystrophy is an inherited disorder (passed down through families). There are more than 30 types of muscular dystrophy. The disorder causes permanent muscle weakness.
Infections: Bacterial and viral infections can damage muscle fibers. These infections include Lyme disease, malaria and Rocky Mountain spotted fever.
Injuries: Many different injuries can cause muscles to tear or stretch too far (muscle strain). Back strains are a very common injury. Accidents, trauma and overuse injuries can cause muscle cramps or muscle spasms. In severe cases, these injuries can lead to paralysis.
Medications: Certain drugs, such as chemotherapy medications, can cause muscle pain. Sore muscles can also result from medications that treat high blood pressure. Some people develop muscle weakness after having a severe allergic reaction to a medication or a toxic substance.",https://my.clevelandclinic.org/health/body/21887-muscle
What happens to muscles during and after exercise?,"Many people have sore muscles after working out. The soreness results from tiny tears (microtears) that happen when you put stress on a muscle. Usually, muscle soreness sets in a day or two after vigorous exercise. This is why providers call this condition delayed onset muscle soreness (DOMS).

As the muscles repair themselves and the tiny tears heal, the muscle tissue becomes inflamed. Within a few days, your muscles recover and the inflammation goes away. With continued exercise, the muscle tissue tears and rebuilds again and again. This process causes muscles to get bigger.",https://my.clevelandclinic.org/health/body/21887-muscle
What are common signs or symptoms of conditions affecting the muscles?,"Some of the most common signs of muscle problems include:

Difficulty swallowing, shortness of breath or other breathing problems.
Movement problems and balance issues.
Muscle pain, cramps or twitching.
Muscle weakness, loss of mobility or paralysis.
Tingling or numbness.
Vision problems (such as double vision) or droopy eyelids.
Many of these symptoms don’t necessarily mean something is wrong. Muscle pain or weakness often gets better with rest and hydration. If any of these symptoms come on suddenly, talk to your provider right away. Sudden muscle weakness or pain can be signs of a serious health condition.",https://my.clevelandclinic.org/health/body/21887-muscle
What are some common tests to check muscle health?,"Depending on your symptoms, your provider may recommend:

Complete blood count (CBC), a series of blood tests that evaluate your overall health and check for infection.
Electromyography (EMG) to measure how the nerves and muscles work.
Imaging studies such as an MRI that show pictures of damage to muscles.
Muscle biopsy to test a sample of muscle tissue for disease.",https://my.clevelandclinic.org/health/body/21887-muscle
How can I keep my muscles healthy?,"To keep your muscles healthy, you should focus on staying healthy overall:

Get plenty of exercise: Staying active can keep all of your muscles strong, including your heart. Try to do a combination of cardiovascular activity and weight-bearing exercises. Talk to your provider about an exercise program that’s right for you. To avoid injuries, be sure to warm up properly before exercise. You’re less likely to injure muscles that are warm.
Eat right and make smart choices: Be sure to eat a balanced diet to keep your muscles strong. Avoid sodium and trans fats (such as in fried foods), which can lead to heart disease. If you smoke, talk to your provider about a plan to help you quit.
Maintain a healthy weight: Carrying extra pounds can cause injuries. It also increases your risk of health problems, including high blood pressure. Talk to your provider about the most appropriate weight for your body and lifestyle. If you carry extra weight, ask your provider about a weight control plan.
Rest when you need to: Give your muscles time to heal after a strain. You should also rest if you feel sore after rigorous exercise. Allowing your muscles time to repair and rebuild can help you avoid injury.
Schedule regular screenings: See your provider regularly. Get screened for diseases that put you at a higher risk of muscle problems. Staying on top of your health allows your provider to detect problems early. That’s when treatments are more effective.",https://my.clevelandclinic.org/health/body/21887-muscle
When should I call my doctor about my muscles?,"If you have muscle weakness or muscle pain that comes on suddenly, call your provider right away. Get emergency medical help if you have trouble breathing or swallowing, or if you have vision changes, chest pain or problems with balance. These could be signs of a serious health condition.

A note from Cleveland Clinic

Your muscles play an essential role in keeping you alive and helping you interact with the world. Some muscles help you see, hear and move. Others are responsible for helping you breathe or digest food. Everyone loses some muscle mass with age. To keep your muscles working properly, you should maintain a healthy weight, get plenty of exercise and eat a balanced diet. See your provider for regular screenings that can detect health problems that may lead to muscle problems.",https://my.clevelandclinic.org/health/body/21887-muscle
What is the lymphatic system?,"The lymphatic system is a network of tissues, vessels and organs that work together to move a colorless, watery fluid called lymph back into your circulatory system (your bloodstream).

Some 20 liters of plasma flow through your body’s arteries and smaller arteriole blood vessels and capillaries every day. After delivering nutrients to the body’s cells and tissues and receiving their waste products, about 17 liters are returned to the circulation by way of veins. The remaining three liters seep through the capillaries and into your body’s tissues. The lymphatic system collects this excess fluid, now called lymph, from tissues in your body and moves it along until it's ultimately returned to your bloodstream.

Your lymphatic system has many functions. Its key functions include:

Maintains fluid levels in your body: As just described, the lymphatic system collects excess fluid that drains from cells and tissue throughout your body and returns it to your bloodstream, which is then recirculated through your body.
Absorbs fats from the digestive tract: Lymph includes fluids from your intestines that contain fats and proteins and transports it back to your bloodstream.
Protects your body against foreign invaders: The lymphatic system is part of the immune system. It produces and releases lymphocytes (white blood cells) and other immune cells that monitor and then destroy the foreign invaders — such as bacteria, viruses, parasites and fungi — that may enter your body.
Transports and removes waste products and abnormal cells from the lymph.",https://my.clevelandclinic.org/health/articles/21199-lymphatic-system
What are the parts of the lymphatic system?,"The lymphatic system consists of many parts. These include:

Lymph: Lymph, also called lymphatic fluid, is a collection of the extra fluid that drains from cells and tissues (that is not reabsorbed into the capillaries) plus other substances. The other substances include proteins, minerals, fats, nutrients, damaged cells, cancer cells and foreign invaders (bacteria, viruses, etc). Lymph also transports infection-fighting white blood cells (lymphocytes).
Lymph nodes: Lymph nodes are bean-shaped glands that monitor and cleanse the lymph as it filters through them. The nodes filter out the damaged cells and cancer cells. These lymph nodes also store lymphocytes and other immune system cells that attack and destroy bacteria and other harmful substances in the fluid. You have about 600 lymph nodes scattered throughout your body. Some exist as a single node; others are closely connected groups called chains. A few of the more familiar locations of lymph nodes are in your armpit, groin and neck. Lymph nodes are connected to others by the lymphatic vessels.·
Lymphatic vessels: Lymphatic vessels are the network of capillaries (microvessels) and a large network of tubes located throughout your body that transport lymph away from tissues. Lymphatic vessels collect and filter lymph (at the nodes) as it continues to move toward larger vessels called collecting ducts. These vessels operate very much like your veins do: They work under very low pressure, have a series of valves in them to keep the fluid moving in one direction.
Collecting ducts: Lymphatic vessels empty the lymph into the right lymphatic duct and left lymphatic duct (also called the thoracic duct). These ducts connect to the subclavian vein, which returns lymph to your bloodstream. The subclavian vein runs below your collarbone. Returning lymph to the bloodstream helps to maintain normal blood volume and pressure. It also prevents the excess buildup of fluid around the tissues (called edema). The lymphatic system collects excess fluid that drains from cells and tissue throughout the body and returns it to the bloodstream, which is then recirculated through the body.

Spleen: This largest lymphatic organ is located on your left side under your ribs and above your stomach. The spleen filters and stores blood and produces white blood cells that fight infection or disease.
Thymus: This organ is located in the upper chest beneath the breast bone. It matures a specific type of white blood cell that fights off foreign organisms.
Tonsils and adenoid: These lymphoid organs trap pathogens from the food you eat and the air you breathe. They are your body’s first line of defense against foreign invaders.
Bone marrow: This is the soft, spongy tissue in the center of certain bones, such as the hip bone and breastbone. White blood cells, red blood cells, and platelets are made in the bone marrow.
Peyer’s patches: These are small masses of lymphatic tissue in the mucous membrane that lines your small intestine. These lymphoid cells monitor and destroy bacteria in the intestines.
Appendix: Your appendix contains lymphoid tissue that can destroy bacteria before it breaches the intestine wall during absorption. Scientists also believe the appendix plays a role in housing “good bacteria” and repopulating our gut with good bacteria after an infection has cleared.",https://my.clevelandclinic.org/health/articles/21199-lymphatic-system
What conditions affect the lymphatic system?,"Many conditions can affect the vessels, glands, and organs that make up the lymphatic system. Some happen during development before birth or during childhood. Others develop as a result of disease or injury. Some common and less common diseases and disorders of the lymphatic system include:

Enlarged (swollen) lymph nodes (lymphadenopathy): Enlarged lymph nodes are caused by infection, inflammation or cancer. Common infections that can cause enlarged lymph nodes include strep throat, mononucleosis, HIV infection and infected skin wounds. Lymphadenitis refers to lymphadenopathy that is caused by an infection or inflammatory condition.
Swelling or accumulation of fluid (lymphedema): Lymphedema can result from a blockage in the lymphatic system caused by scar tissue from damaged lymph vessels or nodes. Lymphedema is also often seen when lymph nodes are removed from those who've had surgery or radiation to remove cancer. The buildup of lymphatic fluid is most commonly seen in your arms and legs. Lymphedema can be very mild or be quite painful, disfiguring and disabling. People with lymphedema are at risk for serious and potentially life-threatening deep skin infections.
Cancers of the lymphatic system: Lymphoma is cancer of the lymph nodes and occurs when lymphocytes grow and multiply uncontrollably. There are several different types of lymphoma, including Hodgkin’s lymphoma and non-Hodgkin’s lymphoma. Cancerous tumors can also block lymphatic ducts or be near lymph nodes and interfere with the flow of lymph through the node.
Other disorders include:

Lymphangitis: This is an inflammation of the lymph vessels.
Lymphangioma: This is a condition that you're born with. It’s a malformation in the lymphatic system. Lymphangiomatosis is the presence of multiple or widespread lymphatic vascular malformations.
Intestinal lymphangiectasia: This is a condition in which loss of lymph tissue in the small intestine leads to loss of protein, gammaglobulins, albumin and lymphocytes.
Lymphocytosis: This is a condition in which there is a higher-than-normal amount of lymphocytes in the body.
Lymphatic filariasis: This is an infection caused by a parasite that causes the lymphatic system not to function correctly.
Castleman disease: Castleman disease involves an overgrowth of cells in the body’s lymphatic system.
Lymphangioleiomyomatosis: This is a rare lung disease in which abnormal muscle-like cells begin to grow out of control in the lungs, lymph nodes and kidneys.
Autoimmune lymphoproliferative syndrome: This is a rare genetic disorder in which there is a high number of lymphocytes in the lymph nodes, liver and spleen.
Mesenteric lymphadenitis: This is an inflammation of the lymph nodes in the abdomen.
Tonsillitis: This is an inflammation and infection of the tonsils.",https://my.clevelandclinic.org/health/articles/21199-lymphatic-system
How can I keep my lymphatic system healthy?,"To keep your lymphatic system strong and healthy, you should:

Avoid exposure to toxic chemicals like those in pesticides or cleaning products. These chemicals can build up in your system and make it harder for your body to filter waste.
Drink plenty of water to stay hydrated so lymph can easily move throughout your body.
Maintain a healthy lifestyle that includes regular exercise and a healthy diet.",https://my.clevelandclinic.org/health/articles/21199-lymphatic-system
When should I call my doctor about an issue with my lymphatic system?,Call your doctor if you experience fatigue (extreme tiredness) or have unexplained swelling that lasts more than a few weeks or interferes with your daily activities.,https://my.clevelandclinic.org/health/articles/21199-lymphatic-system
What is the digestive system?,"Your digestive system is made up of the gastrointestinal (GI) tract and your liver, pancreas and gallbladder. The GI tract is a series of hollow organs that are connected to each other from your mouth to your anus. The organs that make up your GI tract, in the order that they are connected, include your mouth, esophagus, stomach, small intestine, large intestine and anus.",https://my.clevelandclinic.org/health/body/7041-digestive-system
What does the digestive system do?,"Your digestive system is uniquely constructed to do its job of turning your food into the nutrients and energy you need to survive. And when it’s done with that, it handily packages your solid waste, or stool, for disposal when you have a bowel movement.",https://my.clevelandclinic.org/health/body/7041-digestive-system
Why is digestion important?,"Digestion is important because your body needs nutrients from the food you eat and the liquids you drink in order to stay healthy and function properly. Nutrients include carbohydrates, proteins, fats, vitamins, minerals and water. Your digestive system breaks down and absorbs nutrients from the food and liquids you consume to use for important things like energy, growth and repairing cells.",https://my.clevelandclinic.org/health/body/7041-digestive-system
What organs make up the digestive system?,"The main organs that make up the digestive system (in order of their function) are the mouth, esophagus, stomach, small intestine, large intestine, rectum and anus. Helping them along the way are the pancreas, gall bladder and liver.

Here’s how these organs work together in your digestive system.
",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the mouth,"The mouth is the beginning of the digestive tract. In fact, digestion starts before you even take a bite. Your salivary glands get active as you see and smell that pasta dish or warm bread. After you start eating, you chew your food into pieces that are more easily digested. Your saliva mixes with the food to begin to break it down into a form your body can absorb and use. When you swallow, your tongue passes the food into your throat and into your esophagus.",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the Esophagus,"Located in your throat near your trachea (windpipe), the esophagus receives food from your mouth when you swallow. The epiglottis is a small flap that folds over your windpipe as you swallow to prevent you from choking (when food goes into your windpipe). A series of muscular contractions within the esophagus called peristalsis delivers food to your stomach.

But first a ring-like muscle at the bottom of your esophagus called the lower esophageal sphincter has to relax to let the food in. The sphincter then contracts and prevents the contents of the stomach from flowing back into the esophagus. (When it doesn’t and these contents flow back into the esophagus, you may experience acid reflux or heartburn.)",https://my.clevelandclinic.org/health/body/7041-digestive-system
